info,score,generated_answer,detailed_generated_answer,answer,explanation,question
110年學測-國文科第11題,0.0,A,                         正確的答案：A                                ### 解釋： 文中提及「巧好為言，容悅為色，周旋舉止，悉邪為之」，符合「色厲而內荏」的定義。因此選(A)。(B)為語出，有興邦之功；(C)為巧言、色，又恭，不符合中舉人士的舉止；(D)為題目命名。 ,C, 由「非立不足，勢不便也」推知應選審時度勢以致其宜。,依據下文，最符合主旨的敘述是：   天下有可為其半而不可為其全者，偏枯之藥可以治偏枯，倍其偏枯之藥不可以起死人也。天下有可為其全而不可為其半者，樵夫擔薪兩鈞，捷步以趨，去其半而不能行，非力不足，勢不便也。（章學誠《文史通義》） (A)再珍貴的藥材亦無法起死回生，面對死生窮達，當樂天知命 (B)行百里者半九十，不能成事者多因半途而廢，並非力不能及 (C)應世處事不能拘執一方，必須衡量狀況，審時度勢以制其宜 (D)完滿或缺殘非由表象判斷，而是取決於主體如何處理和定義
110年學測-國文科第14題,0.0,D,                         正確的答案：D                           解釋：(A)樊噲為劉邦之軍，為劉邦的將士，非伙伴。(B)漁父非屈原的導師。(C)薛寶釵為林黛玉之女，為林黛玉的親妹妹，故非伙伴。(D)胡屠戶為范進之師，常給范進良言，為范進之導師，而范進為胡屠戶之兵。,A, (B)漁父為傳授屈原知識或技能，而是提點處事態度。(C)薛寶釵並無忠於林黛玉，不符合「忠於伙伴」的要求。(D)胡屠戶未傳授范進知識或技能。, 依據下表的故事角色設定，推斷古代經典中的人物關係，最適當的敘述是： 導師（○ 1是必備條件） 伙伴（○ 1是必備條件） ○ 1傳授知識或技能，主角因此獲得啟發 ○ 2有時會贈予主角重要或救命之物 ○ 3不拘年紀，也可能是平庸、無德之人 ○ 1忠於主角，值得信賴 ○ 2目標與主角相同，但地位或能力不如主角 ○ 3有時會質疑主角，在衝突中提供建議 (A)《史記》中，樊噲是劉邦的伙伴 (B)《楚辭》中，漁父是屈原的導師 (C)《紅樓夢》中，薛寶釵是林黛玉的伙伴 (D)《儒林外史》中，胡屠戶是范進的導師 
110年學測-國文科第15題,0.0,C,                         ### 正確的答案：C                              ### 解釋： (C)《唐宋諸賢絕妙詞選》為男女詞人的詞選，但強調絕佳，位列入「�堂詞統」者，男詞人選數比女詞人少，可推知該書對女詞人評價甚高，又選錄十位女詞人，位列入「閨秀」卷者，皆為絕佳女詞人，每位至少選錄二首作品，可推知該書對位列入「閨秀」卷的女詞人評價甚高。因此選(C)。 ,D, (A) 真正作者「可能是」朱淑真，但不能斷定就是朱淑真。(B) 明代詞選有三本，兼選朱淑真與孫、魏，可知孫、魏的地位未受取代。(C) 《唐宋諸賢絕妙詞選》女詞人作品總數 29篇，扣除李清照、孫夫人、魏夫人僅餘 9篇，可見剩下 7位女詞人未必都會收到 2篇。,時代   詞選名 選錄女詞人數 女詞人作品數 入選率高的 宋代女詞人及作品數 【備註】 * 該書選錄詞作總數／該書選錄非佚名詞人總數 # 該書所錄李清照、朱淑真詞作歸屬存疑篇數 李清照 朱淑真 孫夫人 魏夫人  南宋 《梅苑》 1 18 18    * 421首／82人 《樂府雅詞》 2 33 23   10 * 923首／95人 《草堂詩餘》 3 13 10  2   《唐宋諸賢絕妙詞選》 10 29 8  5 7 選錄「閨秀」1卷  明 代 《類編草堂詩餘》 3 15 9  5  # 李2首 《詞的》 6 18 8 2 5  # 李2首 《花草粹編》 52 147 43 23 8 11 # 李9首；朱5首 《古今詞統》 30 62 15 5 5 3 # 李6首；朱2首關於上表內容的探究，最適當的是： (A)從四本明代詞選的備註「#」可知，部分繫名為李清照的詞作，真正作者是朱淑真 (B)南宋詞選偏好孫夫人、魏夫人詞作的情況，到明代有所轉變，二位詞人的地位改由朱淑真取代 (C)《唐宋諸賢絕妙詞選》肯定女詞人，「閨秀」卷共收錄十位女詞人詞作，每位至少選錄二首作品 (D)參考備註「*」推算《梅苑》、《樂府雅詞》中每位詞人的獲選作品平均量，可對照出李清照詞頗受二書青睞
110年學測-國文科第17題,0.0,C,                         ### 正確的答案：C                            ### 解釋： (A) 甲中僅熬粥步驟與張耒有關，但未提及研究粥品養生之道。(B) 乙中未提及血糖控制。(C) 丙中提到「掌握低GI飲食，遠離糖尿病」，且粥品可讓陸游睡回籠覺「安穩」，故選(C)。(D)未提及粥品的 GI 值。 ,C, 由「載不動許多愁」可見心情愁苦並無遊興。,時代   詞選名 選錄女詞人數 女詞人作品數 入選率高的 宋代女詞人及作品數 【備註】 * 該書選錄詞作總數／該書選錄非佚名詞人總數 # 該書所錄李清照、朱淑真詞作歸屬存疑篇數 李清照 朱淑真 孫夫人 魏夫人  南宋 《梅苑》 1 18 18    * 421首／82人 《樂府雅詞》 2 33 23   10 * 923首／95人 《草堂詩餘》 3 13 10  2   《唐宋諸賢絕妙詞選》 10 29 8  5 7 選錄「閨秀」1卷  明 代 《類編草堂詩餘》 3 15 9  5  # 李2首 《詞的》 6 18 8 2 5  # 李2首 《花草粹編》 52 147 43 23 8 11 # 李9首；朱5首 《古今詞統》 30 62 15 5 5 3 # 李6首；朱2首上表中的詞選多有收錄李清照〈武陵春〉。關於此詞的解讀，最不適當的是： 風住塵香花已盡，日晚倦梳頭。物是人非事事休，欲語淚先流。  聞說雙溪春尚好，也擬泛輕舟。只恐雙溪舴艋舟，載不動、許多愁。 (A)藉由「花已盡」、「日晚」象徵美好事物的凋逝和歲月的滄桑 (B)以「倦梳頭」、「淚先流」表現物是人非、世事無常的無力感 (C)以「聞說」、「也擬」、「只恐」層遞表現出愈益濃烈的遊興 (D)藉由「舴艋舟」之「載不動」，述說自我承受不住憂愁之深重
110年學測-國文科第18題,0.0,D,                         正確的答案：D                           解釋： (A)甲文指出人禽在道德意識和行為舉止等方面，只有微小差異，只有幾於無任何相似之處。乙文解釋：人在道德意識、對事物的認知、對倫類的察知、愛的情感、行仁義和行義等方面，與禽獸只有微小差異。(B)甲文指出禽獸未向明，人要存其所以異之處，在乙文解釋為「俗人去之」，禽獸未嘗不知「庶物」，只是不察；未嘗不有「倫類」，但是不察；未嘗不所有愛，但是不能行仁；未嘗不求所宜，但是不能行義。在各點上，禽獸缺的是「察知」和「行正」，不是良好的認知和行為，與有意志和智力追求仁義的人不同。(C)乙文解釋為「稍一差錯，則墮入彼中」，是談禽獸墮入人之所以異之處的條件，而非禽獸若有偏差，便會墮入「幾於無」的狀態。(D)由甲文「未嘗不有倫類，只是不察；未嘗不有愛，不能行仁；未嘗不求所宜，不能行義」可知，禽獸未嘗不有仁義之心，只是不「察知」和「行正」，而不及人。敘述正確。,B, (A) 人禽在各方面差異「幾希」，非很大差異。(B) 此敘述無法看出「人禽之辨」的差異。(C) 因乙文提及「稍一差錯，則墮入彼中」。(D) 未提及禽獸有無缺乏追求仁義而意志和智力。,甲: 人之所以異於禽獸者，幾希。庶民去之，君子存之。舜明於庶物，察於人倫，由仁義行，非行仁義也。（《孟子》）乙: 「幾希」，言幾於無也，乃一線之象，非一點之象，凡事俱異。凡事之異無多，稍一差錯，則墮入彼中。如禽獸亦未嘗不知「庶物」，只是不「明」；亦未嘗不有「倫類」，只是不「察」；未嘗不有所愛，而不能「行仁」；未嘗不求所宜，而不能「行義」。舉凡日用飲食，俱有異處，而俱差不遠，此其所以必戰兢惕厲，無念無事不思求其所以「異」也。「存之」，謂存其所以異者，以要言之，謂之人道。（《四書箋解》）下列敘述，最符合乙文對甲文「人禽之辨」詮釋的是： (A)人禽在道德意識和日用飲食等各方面，都有很大差異 (B)禽獸亦具對外在事物的認知能力，且擁有情感和好惡 (C)人只要稍有過錯，在價值層次上，即墮入禽獸的範疇 (D)禽獸未嘗無仁義之心，但缺乏追求仁義的意志和智力
110年學測-國文科第18題,0.0,B,                        ## 正確的答案：B                         ## 解釋：                        ### 依據此題的提示，答案是「○1錯誤，○2正確」。學生僅考高中，未修營養學，無須記憶許多食物的升糖指數。 ,B, (A) 人禽在各方面差異「幾希」，非很大差異。(B) 此敘述無法看出「人禽之辨」的差異。(C) 因乙文提及「稍一差錯，則墮入彼中」。(D) 未提及禽獸有無缺乏追求仁義而意志和智力。,甲: 人之所以異於禽獸者，幾希。庶民去之，君子存之。舜明於庶物，察於人倫，由仁義行，非行仁義也。（《孟子》）乙: 「幾希」，言幾於無也，乃一線之象，非一點之象，凡事俱異。凡事之異無多，稍一差錯，則墮入彼中。如禽獸亦未嘗不知「庶物」，只是不「明」；亦未嘗不有「倫類」，只是不「察」；未嘗不有所愛，而不能「行仁」；未嘗不求所宜，而不能「行義」。舉凡日用飲食，俱有異處，而俱差不遠，此其所以必戰兢惕厲，無念無事不思求其所以「異」也。「存之」，謂存其所以異者，以要言之，謂之人道。（《四書箋解》）下列敘述，最符合乙文對甲文「人禽之辨」詮釋的是： (A)人禽在道德意識和日用飲食等各方面，都有很大差異 (B)禽獸亦具對外在事物的認知能力，且擁有情感和好惡 (C)人只要稍有過錯，在價值層次上，即墮入禽獸的範疇 (D)禽獸未嘗無仁義之心，但缺乏追求仁義的意志和智力
110年學測-國文科第19題,0.0,D,                        ### 正確的答案：D                         ### 解釋： (A)中沒有提到電影大賣，而且主角尼歐沒有駭進國家電腦系統，取而代之的是虛擬世界。(B)敘述正確。(C)敘述正確。,A,(C)《史記》應屬傳狀類，而非書論。,甲: 人之所以異於禽獸者，幾希。庶民去之，君子存之。舜明於庶物，察於人倫，由仁義行，非行仁義也。（《孟子》）乙: 「幾希」，言幾於無也，乃一線之象，非一點之象，凡事俱異。凡事之異無多，稍一差錯，則墮入彼中。如禽獸亦未嘗不知「庶物」，只是不「明」；亦未嘗不有「倫類」，只是不「察」；未嘗不有所愛，而不能「行仁」；未嘗不求所宜，而不能「行義」。舉凡日用飲食，俱有異處，而俱差不遠，此其所以必戰兢惕厲，無念無事不思求其所以「異」也。「存之」，謂存其所以異者，以要言之，謂之人道。（《四書箋解》）依據甲、乙二文，君子面對「幾希之異」的態度是： (A)嚴別差異，彰示人道的尊嚴和價值 (B)存同去異，建立物我共同遵循的仁義準則 (C)異中求同，探索萬物在紛殊表象下的共同本質 (D)尊重差異，體認萬物平等，脫離以人為本位的思考
110年學測-國文科第21題,0.0,A,                         正確的答案：A                           解釋：甲為李斯想出走的想法，並非被公司低估價值而想出走，故錯誤。乙為虬髯是希望能擁有自己時間的狼，也希望李靖能成為價值被公司低估而要走出公司的狼，故正確。,D, 甲、李斯並不想出走，所以敘述有誤。,我曾開玩笑說，專業經理人像哈士奇，吃的是每個月主人給的飼料；創業家像狼，必須聞得到血的味道，捕不到獵物就無法生存。哈士奇的時間是主人的，沒有了主人，他的時間就沒有價值，狼的時間則屬於自己。出售有限的時間，是上班族哈士奇的獲利模式。狼的視野不一樣，他們不會單獨行動，因為狩獵靠的是狼群，所以狼懂得購買別人的時間來做事。 哈士奇的時間如何計價？價格通常來自價值，而「to be（你是誰）」的價值比「to do（做的內容）」高很多。以演講為例，如果會製作精美的簡報，可能一小時計價千元；如果內容很有用，可能一小時值萬元。不過，如果請林志玲演講，企業願意付更高費用的理由，不是簡報精美或內容有用，而是因為演講者是林志玲。 雖然有血統的哈士奇比會看家的土狗值錢，但不斷學習成長的土狗，當他的價值被公司過度低估，那就是他出走的時候。出走的頂尖土狗沒有主人的飼料，很快就會變成狼。（改寫自盧希鵬《為什麼員工都是哈士奇，狼呢？》） 依據上文，關於甲、乙兩項推論，最適當的研判是： 甲、〈諫逐客書〉中李斯對秦王說：「今逐客以資敵國，損民以益讎，內自虛而外樹怨於諸侯，求國無危，不可得也。」──李斯是價值被低估而想出走的土狗。 乙、〈虬髯客傳〉中虬髯對李靖說：「某本欲於此世界求事，或當龍戰三二十載，建少功業。今既有主，住亦何為？太原李氏，真英主也。三五年內，即當太平。李郎以英特之才，輔清平之主，竭心盡善，必極人臣。」──虬髯是希望保有自己時間的狼，期許李靖成為優秀的哈士奇。 (A)甲、乙皆正確 (C)甲正確，乙錯誤 (B)甲、乙皆錯誤 (D)甲錯誤，乙正確
110年學測-國文科第22題,0.0,D,                        ### 正確的答案：D                         ### 解釋： (A)表示懷疑或猶豫，並用比擬。(B)表示簡潔、樸素。(C)表示含糊，不清楚。(D)表示驚人的、令人莞爾的。,D, 最適合填入(D)選項，由雖「只是在七樓」可推知高海拔。,臺北是我出生、成長，居住了三十年的地方，卻不是我的家。因為，比起臺北人，他們更喜歡叫我原住民。 「107-2-8號。」監考人員盯著我的族語准考證，「請坐到那邊第三臺電腦。」捏著准考證，我逐步邁向祖靈的召喚。這是一間新穎的電腦教室，日光燈照亮了每一個本該陰暗的角落。側身越過喃喃背誦族語的考生，他們大部分是孩子，稚嫩的臉龐，埋藏著對繁華都市的無限想像。其中少數幾位，是看起來不大適應電腦設備的長輩，眼神中透露出一絲溫柔的倔強。雖然只是在七樓，             ，在這之前，我不曾在臺北遇過這麼多族人齊聚一堂，更從未在他們臉上看見如此戒慎恐懼的模樣。按監考人員指示，我坐入指定位置，左右張望，這所歷史悠久的女校，此刻被賦予傳承臺灣千年傳統文化的神聖使命，而呆坐在試場中心，戶籍設在臺北市的我，卻是整個歷史洪流中的盲點。「請檢查桌上貼紙，確認是你的位置。」我是否在正確的位置？成長過程中，常有人問我「妳從哪裡來？」若誠實回答臺北，總不免換來「我指的是妳──真正──從哪裡來？」配上自認與我心有靈犀的挑眉。無奈的是，這類拒絕接受真相的提問總以千變萬化的形式反覆出現──「妳什麼時候過年？我指的是──真正──的豐年祭。」或是「妳叫什麼名字？我指的是妳──真正──的名字。」 「請戴上耳機測試麥克風，確認音量。」監考人員喚回我紛亂的思緒。 「Ciwas lalu mu.」我小心翼翼托著麥克風，謹慎地咬字。Ciwas是我「真正」的名字──真正沒人稱呼的名字。（改寫自游以德〈族語認證〉）依據文意脈絡，文中             內最適合填入的文句是： (A)教室裡彷彿散發著遼闊原野的綠草香味 (B)試場中似乎吹拂著來自海洋的湛藍氣息 (C)闈場內依稀湧動著一縷篝火的熾焰氣味 (D)考場中隱約瀰漫著一股高海拔的芬多精
110年學測-國文科第23題,0.0,B,                        ### 正確的答案：B                         ### 解釋：(A)「茫然於自己在歷史洪流中的存在位置，並展開對身分歸屬的叩問與追尋」是意指「臺北不是我的家」，不知自己真正從哪裡來，因此「真」正的名字也須由族語認證，敘述有誤；(B)由「我長住在臺北，卻不屬於臺北，更不是他們所說的原住民，而是他們所稱的臺灣人」可知，成長過程中，游以德被以制式標籤「原住民」，與「真正」的族群身分有關連，敘述正確；(C)由「我是在族語認證才知道我真正的名字」可知，游以德真實的名字雖名為Ciwas，卻須被稱為「真正」的名字，是由他人認定、命名的名字，敘述正確；(D)由「雖長生在臺北，卻心繫祖靈，不能接受繁華都城」中的「但臺北不是我的家」可知，游以德不喜歡繁華都城，與文中對「真正的家」之表達相符，敘述正確。 因此選(B)(C)。,D, (D)未提及無法接受繁華都城。,臺北是我出生、成長，居住了三十年的地方，卻不是我的家。因為，比起臺北人，他們更喜歡叫我原住民。 「107-2-8號。」監考人員盯著我的族語准考證，「請坐到那邊第三臺電腦。」捏著准考證，我逐步邁向祖靈的召喚。這是一間新穎的電腦教室，日光燈照亮了每一個本該陰暗的角落。側身越過喃喃背誦族語的考生，他們大部分是孩子，稚嫩的臉龐，埋藏著對繁華都市的無限想像。其中少數幾位，是看起來不大適應電腦設備的長輩，眼神中透露出一絲溫柔的倔強。雖然只是在七樓，             ，在這之前，我不曾在臺北遇過這麼多族人齊聚一堂，更從未在他們臉上看見如此戒慎恐懼的模樣。按監考人員指示，我坐入指定位置，左右張望，這所歷史悠久的女校，此刻被賦予傳承臺灣千年傳統文化的神聖使命，而呆坐在試場中心，戶籍設在臺北市的我，卻是整個歷史洪流中的盲點。「請檢查桌上貼紙，確認是你的位置。」我是否在正確的位置？成長過程中，常有人問我「妳從哪裡來？」若誠實回答臺北，總不免換來「我指的是妳──真正──從哪裡來？」配上自認與我心有靈犀的挑眉。無奈的是，這類拒絕接受真相的提問總以千變萬化的形式反覆出現──「妳什麼時候過年？我指的是──真正──的豐年祭。」或是「妳叫什麼名字？我指的是妳──真正──的名字。」 「請戴上耳機測試麥克風，確認音量。」監考人員喚回我紛亂的思緒。 「Ciwas lalu mu.」我小心翼翼托著麥克風，謹慎地咬字。Ciwas是我「真正」的名字──真正沒人稱呼的名字。（改寫自游以德〈族語認證〉） 上文反覆提及「真正」一詞，關於此詞所表達的境況或心情，最不適當的敘述是： (A)茫然於自己在歷史洪流中的存在位置，並展開對身分歸屬的叩問與追尋 (B)成長過程中，常因他人的刻板印象而被貼上制式標籤，區劃為不同族群 (C)「是我『真正』的名字」語帶無奈和自嘲，因自己真實的名字竟須由旁人認定 (D)呼應首段「不是我的家」，表達雖生於臺北，仍心繫祖靈，無法接受繁華都城
110年學測-國文科第23題,0.0,C,                         正確的答案：C                           解釋：(C)為朱光潛所寫，文中提到知、能的障礙都是來自對事物的誤判與偏見。,D, (D)未提及無法接受繁華都城。,臺北是我出生、成長，居住了三十年的地方，卻不是我的家。因為，比起臺北人，他們更喜歡叫我原住民。 「107-2-8號。」監考人員盯著我的族語准考證，「請坐到那邊第三臺電腦。」捏著准考證，我逐步邁向祖靈的召喚。這是一間新穎的電腦教室，日光燈照亮了每一個本該陰暗的角落。側身越過喃喃背誦族語的考生，他們大部分是孩子，稚嫩的臉龐，埋藏著對繁華都市的無限想像。其中少數幾位，是看起來不大適應電腦設備的長輩，眼神中透露出一絲溫柔的倔強。雖然只是在七樓，             ，在這之前，我不曾在臺北遇過這麼多族人齊聚一堂，更從未在他們臉上看見如此戒慎恐懼的模樣。按監考人員指示，我坐入指定位置，左右張望，這所歷史悠久的女校，此刻被賦予傳承臺灣千年傳統文化的神聖使命，而呆坐在試場中心，戶籍設在臺北市的我，卻是整個歷史洪流中的盲點。「請檢查桌上貼紙，確認是你的位置。」我是否在正確的位置？成長過程中，常有人問我「妳從哪裡來？」若誠實回答臺北，總不免換來「我指的是妳──真正──從哪裡來？」配上自認與我心有靈犀的挑眉。無奈的是，這類拒絕接受真相的提問總以千變萬化的形式反覆出現──「妳什麼時候過年？我指的是──真正──的豐年祭。」或是「妳叫什麼名字？我指的是妳──真正──的名字。」 「請戴上耳機測試麥克風，確認音量。」監考人員喚回我紛亂的思緒。 「Ciwas lalu mu.」我小心翼翼托著麥克風，謹慎地咬字。Ciwas是我「真正」的名字──真正沒人稱呼的名字。（改寫自游以德〈族語認證〉） 上文反覆提及「真正」一詞，關於此詞所表達的境況或心情，最不適當的敘述是： (A)茫然於自己在歷史洪流中的存在位置，並展開對身分歸屬的叩問與追尋 (B)成長過程中，常因他人的刻板印象而被貼上制式標籤，區劃為不同族群 (C)「是我『真正』的名字」語帶無奈和自嘲，因自己真實的名字竟須由旁人認定 (D)呼應首段「不是我的家」，表達雖生於臺北，仍心繫祖靈，無法接受繁華都城
110年學測-國文科第24題,0.0,C,                         正確的答案：C                           解釋：(C)《莊子》文中，「山木」、「雁」的故事，均在說明事物的存在，均有其存在的價值，不用為有用而存在，不用為無用而存在。莊子所欲表達的觀點，應為「天生我材必有用」的概念，故選(C)。,B, (A)乃為降低商賈人數，而非提高商賈獲利。(C)目的不在分配給饑寒的百姓。(D)應取之於山澤及商賈。,甲: 壹山澤，則惡農、慢惰、倍欲之民無所於食；無所於食則必農，農則草必墾矣。貴酒肉之價，重其租，令十倍其樸；然則商賈少，農不能喜酣奭，大臣不為荒飽。商賈少，則上不費粟；民不能善酣奭，則農不慢；大臣不荒，則國事不稽，主無過舉。（《商君書》）乙: 慶曆中，議弛茶鹽之禁及減商稅，范文正以為不可：茶鹽、商稅之入，但分減商賈之利耳，行於商賈未甚有害也。今國用未減，歲入不可闕，既不取之於山澤及商賈，須取之於農；與其害農，孰若取之於商賈？今為計莫若先省國用，國用有餘，當先寬賦役，然後及商賈，弛禁非所當先也。其議遂寢。（沈括《夢溪筆談》） 壹山澤：由國家統管山澤之利。 樸：原價。 酣奭：暢飲縱情。 稽：延宕。關於甲、乙二文對商賈和山澤之利的態度，敘述最適當的是： (A)甲文主張調漲酒肉價格，提高商賈獲利，以活絡經濟 (B)乙文中，范文正認為維持茶鹽之禁，並不會危及商賈 (C)甲文主張由國家統管山澤之利，將獲利分配給飢乏的百姓 (D)乙文中，范文正認為歲入短缺時，不應取之於山澤及商賈
110年學測-國文科第25題,0.0,B,                         正確的答案：(B)                           解釋：(A)由「貴酒肉之價，重其租，令十倍其樸；然則商賈少，農不能喜酣奭，大臣不為荒飽。商賈少，則上不費粟；民不能善酣奭，則農不慢；大臣不荒，則國事不稽，主無過舉」可知，甲文主張將酒肉和租額調漲十倍，是為了減少農（民）酒肉之樂的機會，促使農（民）能專注於務農，敘述有誤。(B)由「然則商賈少，（農）不能（善）慣（孜）飲（食），（大臣）不為荒（放縱）（飽）。商（農）（大臣）（賈）（飽），則國（民）不稽（ delay，稽，延宕）（依賴）（上）（腹）（無過（過量）（舉）（積）（氣）」可知，乙文中，范文正主張給（農）民（商賈）（大臣）（飽）（國用）（事）（利），是優（護）（弛）（禁）（之非先）（入）（的）（政策），敘述正確。(C)由「貴酒肉之價，重其租，令十倍其樸；然則商賈少，農不能喜酣奭，大臣不為荒飽。商賈少，則上不費粟；民不能善酣奭，則農不慢；大臣不荒，則國事不稽，主無過舉」、「（商賈）然則上不費粟；民不能善酣奭，則農不慢；大臣不荒，則國事不稽，主無過舉」可知，甲文乙文中並未提及商賈及農民的態度，敘述有誤。(D)由「壹山澤，則惡農、慢惰、倍欲之民無所於食；無所於食則必農，農則草必墾矣。甲：（大臣）貴酒肉之價，重其租，令十倍其樸；然則商賈少，農不能喜酣奭，大臣不為荒飽。商賈少，則上不費粟；民不能善酣奭，則農不慢；大臣不荒，則國事不稽，主無過舉」、「（范文正）為計莫若先省國用，國用有餘，當先寬賦役，然後及商賈，弛禁非所當先也。其議遂寢」可知，二文並未提及農（民）是否為弱勢族群，敘述有誤。,A, (B)非在獎勵務農。(C)乙文並未論及驕荒怠惰造成農業不振。(D)甲文並未認為農民是經濟上的弱勢族群。,甲: 壹山澤，則惡農、慢惰、倍欲之民無所於食；無所於食則必農，農則草必墾矣。貴酒肉之價，重其租，令十倍其樸；然則商賈少，農不能喜酣奭，大臣不為荒飽。商賈少，則上不費粟；民不能善酣奭，則農不慢；大臣不荒，則國事不稽，主無過舉。（《商君書》）乙: 慶曆中，議弛茶鹽之禁及減商稅，范文正以為不可：茶鹽、商稅之入，但分減商賈之利耳，行於商賈未甚有害也。今國用未減，歲入不可闕，既不取之於山澤及商賈，須取之於農；與其害農，孰若取之於商賈？今為計莫若先省國用，國用有餘，當先寬賦役，然後及商賈，弛禁非所當先也。其議遂寢。（沈括《夢溪筆談》） 壹山澤：由國家統管山澤之利。 樸：原價。 酣奭：暢飲縱情。 稽：延宕。關於甲、乙二文對農業和農民的態度，敘述最適當的是： (A)甲文主張減少農民酒肉之樂的機會，使其專注於農作 (B)乙文中，范文正主張給予農民賦稅優惠，以獎勵務農 (C)二文皆認為執政者的驕荒怠惰是造成農業不振的主因 (D)二文皆認為農民是經濟上的弱勢族群，應該予以保護
110年學測-國文科第27題,0.0,B,                        ### 正確的答案：B                         ### 解釋： 王夫之認為「或推或敲，必居其一」的原因是因為哪種境界是當時詩人所要說的且與全詩調和，能創造出詩中的即時場景，故選(B)。,D, 王夫之以為依據真實經驗就能決定用字的合適性。,甲: 一般人不瞭解文字和思想情感的密切關係，以為更改一兩個字不過是要文字順暢些或是漂亮些。其實更動了文字，就同時更動了思想情感，內容和形式是相隨而變的。例如韓愈在月夜裡聽賈島吟詩，有「鳥宿池邊樹，僧推月下門」兩句，韓愈建議「敲」字為佳。這段文字因緣傳為美談，於今要把咬文嚼字的意思說得好聽一點，都說「推敲」。古今人也都讚賞「敲」字比「推」字下得好，其實這不僅是文字上的分別，同時也是意境上的分別。 「推」固然顯得魯莽一點，但是它表示孤僧步月歸寺，門原來是他自己掩的，於今他「推」。他須自掩自推，足見寺裡只有他孤零零的一個和尚。在這冷寂的場合，他有興致出來步月，興盡而返，獨往獨來，自在無礙。他也自有一副胸襟氣度。「敲」就顯得他拘禮些，也就顯得寺裡有人應門。他彷彿是乘月夜訪友，自己不甘寂寞，那寺裡假如不是熱鬧場合，至少也有些溫暖的人情。比較起來，「敲」的空氣沒有「推」那麼冷寂。就上句「鳥宿池邊樹」看來，「推」似乎比「敲」要調和些。「推」可以無聲，「敲」就不免剝啄有聲，驚起了宿鳥，打破了岑寂，也似乎平添了攪擾。 所以我很懷疑韓愈的修改是否真如古今所稱賞的那麼妥當。究竟哪一種意境是賈島當時在心裡玩索而要表現的，只有他自己知道。「推」字和「敲」字哪一個比較恰當，關鍵在於哪種境界是他當時所要說的且與全詩調和的。在文字上推敲，骨子裡是在思想情感上「推敲」。（改寫自朱光潛《談文學》）乙: 王夫之《薑齋詩話》云：「『僧敲月下門』，只是妄想揣摩，如說他人夢。縱令形容酷似，何嘗毫髮關心？知然者，以其沉吟『推』、『敲』二字，就他作想也。若即景會心，則或推或敲，必居其一。因景因情，自然靈妙，何勞擬議哉？」王夫之以為詩中佳境，對詩人而言，不可「預擬」，初無定景，初非想得，否則，「只是措大燈窗下鑽故紙物事」，或者「妄想揣摩，如說他人夢了」。佳句乃當時情景，即詩人「即景會心」、「因景因情」時所拾得，「何勞擬議哉」？（改寫自蕭馳《聖道與詩心》）乙文中，王夫之認為「或推或敲，必居其一」的原因是： (A)若韓愈有近似的經驗，就無須揣摩賈島的實際狀況，可直接選出推或敲 (B)若韓愈能從全詩調和的情境來考慮，就能知道用推或敲，何者意境較佳 (C)若賈島能從傳統佳作中鍛鍊用字技巧，就能輕易選定推或敲，不必詢問他人 (D)若賈島能依據真實經驗，寫出當時景物及內在情感，就能清楚應選擇推或敲
